id,below_poverty,total
19115,1385,11254
19117,1275,9272
19119,619,10763
19121,1076,14847
19123,2424,21295
19125,2410,31050
19127,4713,37383
19129,1625,14774
19131,748,10460
19133,1123,8856
19135,1055,7502
19137,1489,10581
19139,5028,41817
19141,1193,13720
19143,605,6474
19145,1544,13564
19147,1080,8930
19149,1216,24191
19151,645,7228
19153,38349,407671
19155,9853,86936
19157,1567,16487
19159,597,4862
19161,1124,10049
19163,19106,159654
19165,899,11837
19167,1894,29709
19169,15431,77067
19171,1689,17021
19173,726,6395
19175,1851,11917
19177,1069,7300
19179,5191,34902
19181,2782,42253
19183,2779,20838
19185,814,6291
19187,5131,37472
19189,1074,10399
19191,1489,18610
19193,14192,98017
19195,663,7506
19197,1689,12744
20000,328843,2692061
20001,1698,12953
20003,1168,7758
20005,1945,15687
20007,548,4554
20009,3596,27300
20011,2058,14540
20013,1587,9839
20015,5104,60958
20017,330,2851
20019,414,3568
20021,3476,20885
20023,327,2759
20025,251,2123
20027,582,8223
20029,1262,8743
20031,1040,7998
20033,180,1729
20035,4756,32324
20037,7461,37310
20039,461,2912
20041,1561,18727
20043,976,7391
20045,21680,104968
20047,481,2980
20049,595,2926
20051,3634,25618
20053,499,5690
20055,5743,40176
20057,5395,32217
20059,2042,25601
20061,3402,29527
20063,194,2582
20065,287,2566
20067,763,7164
20069,661,5845
20071,44,1173
20073,927,6912
20075,311,2441
20077,599,5650
20079,2607,31816
20081,576,4020
20083,163,1943
20085,1286,12916
20087,1257,18185
20089,344,3153
20091,27083,518813
20093,677,4155
20095,878,7460
20097,182,2359
20099,3396,21032
20101,283,1644
20103,5262,67284
20105,314,3160
20107,855,9473
20109,403,2631
20111,7395,32936
20113,2323,27026
20115,1200,10956
20117,868,9876
20119,554,4425
20121,2169,29824
20123,569,6207
20125,5228,33551
20127,660,5808
20129,234,2901
20131,743,9209
20133,2209,14378
20135,275,2821
20137,370,4459
20139,1836,16331
20141,513,3763
20143,475,5812
20145,679,5674
20147,527,5080
20149,1329,19181
20151,987,8363
20153,349,2516
20155,7174,58825
20157,456,4727
20159,1199,9733
20161,16186,62249
20163,681,5052
20165,416,3167
20167,998,6659
20169,6320,52717
20171,269,4648
20173,61683,469614
20175,3776,21778
20177,23683,170831
20179,338,2323
20181,784,5702
20183,330,3782
20185,685,4352
20187,165,1906
20189,594,4794
20191,2609,23438
20193,902,6783
20195,233,2843
20197,565,6785
20199,213,1401
20201,677,5679
20203,250,2163
20205,1322,9238
20207,686,3302
20209,30553,151261
21000,719746,4125581
21001,3607,17001
21003,3268,18391
21005,1918,20813
21007,1133,8122
21009,8042,40252
21011,2995,11338
21013,9080,27715
21015,7321,111140
21017,3762,19179
21019,8605,46219
21021,4736,26189
21023,1643,8586
21025,4796,15406
21027,3648,18569
21029,6929,73064
21031,2293,13052
21033,2004,12751
21035,6449,32980
21037,8682,83723
21039,866,5086
21041,1697,10369
21043,5243,25830
21045,4383,15804
21047,14099,73131
21049,5799,35248
21051,7128,22648
21053,2788,9381
21055,1404,8818
21057,1698,6832
21059,13210,90781
21061,2329,11580
21063,2453,7374
21065,4133,14816
21067,46861,276201
21069,3065,14413
21071,11131,40938
21073,6213,47221
21075,1846,6621
21077,1972,7630
21079,2876,16681
21081,3991,24896
21083,7271,36611
21085,5603,25104
21087,1873,11291
21089,5779,37129
21091,1347,8452
21093,11638,92807
21095,9240,30709
21097,3341,18409
21099,4350,17849
21101,6203,44357
21103,2713,15594
21105,635,4700
21107,8114,45709
21109,3913,13287
21111,101563,696990
21113,6110,43886
21115,5096,23487
21117,16847,154450
21119,4128,16401
21121,11571,31440
21123,1808,13310
21125,10761,56250
21127,4944,16291
21129,2141,6540
21131,2723,11573
21133,6588,23632
21135,3443,13713
21137,4651,24817
21139,974,9541
21141,4540,26813
21143,1042,6647
21145,10079,63843
21147,6325,16954
21149,1648,9297
21151,14715,74890
21153,4424,12939
21155,3821,18132
21157,3790,30605
21159,5072,12932
21161,3210,16052
21163,3889,27084
21165,1251,6599
21167,2616,21699
21169,1913,9870
21171,3145,11420
21173,5177,24776
21175,2848,12417
21177,6204,30077
21179,5031,41859
21181,1722,6699
21183,4153,22828
21185,2817,52211
21187,1275,11260
21189,1914,4648
21191,2868,14874
21193,7819,28706
21195,14417,64433
21197,3405,13354
21199,11733,58924
21201,550,2218
21203,5177,16305
21205,5524,20136
21207,3917,17023
21209,4847,40919
21211,4651,38708
21213,2403,16516
21215,1758,16402
21217,4847,23269
21219,2121,11825
21221,2037,13201
21223,1586,8696
21225,3045,14754
21227,17677,98852
21229,2013,11227
21231,4905,20376
21233,2286,13466
21235,10576,36413
21237,2900,6927
21239,2599,24388
22000,789634,4285810
22001,12605,58892
22003,4034,21753
22005,10402,97876
22007,4554,22872
22009,9641,38914
22011,4400,33556
22013,3605,14353
22015,14884,105388
22017,51725,244805
22019,29943,181767
22021,1986,9987
22023,616,7588
22025,2548,9859
22027,4070,14995
22029,6070,18206
22031,5558,25737
22033,81325,416315
22035,3052,6829
22037,4138,18823
22039,7920,33584
22041,5596,18951
22043,2803,18439
22045,15005,72843
22047,5438,28731
22049,2180,14919
22051,59634,433392
22053,5222,30729
22055,31035,199732
22057,14031,90934
22059,2126,13277
22061,10777,37504
22063,13893,115653
22065,2733,10053
22067,7869,27856
22069,11632,37969
22071,74361,317912
22073,31636,146092
22075,2354,22232
22077,4876,22058
22079,23281,127909
22081,2143,8701
22083,4180,19263
22085,4716,23467
22087,7050,38020
22089,6519,50180
22091,2003,10435
22093,2782,21017
22095,6641,46310
22097,26394,89289
22099,7995,49573
22101,10903,50645
22103,22942,222834
22105,24743,112698
22107,1364,5365
22109,18115,107012
22111,4885,22393
22113,10092,54573
22115,7497,45078
22117,10598,43276
22119,8338,39642
